title,rating,snippet
Aatish Saawan,5,:( Bhai this Game is consume a large amount of net but this Game was very very nice fantastic 🤩 Love this Game The storyline is very amazing.
Margaret Endin,4,I love this game the only thing is the download resource take so long
Lathamurugan balamurugan,5,"I love it.., ❣️"
romeo pangan,5,good quality
Francis Mbogo,5,Is the best game ever 😄
Jon,2,"Everything is great except the dialogues. I thought I was the only one annoyed by the too-long-winded dialogues. I'm playing a game but reading through all the words feel like a job. Why couldn't it be like ""Hey, Traveler. I need this blah-blah-blah. It is located in x location"". You go there, get the item and come back. The NPC says TY and you get your reward. Also, I think the once or twice a week boss battles are too restrictive. Also, the specific reward days domains are frustrating."
Liba Khan,5,Hey HoYoverse! I love the game so much it's very addictive but the thing is.. Could you please for the co-op make us be able to search for friends by their user instead of UID? I lost a very close friend of mine somehow and I didn't copy down their UID and I struggle to find him.. His user is Apoorva and bio was Aakash If you find him then please email me or something! Thank you for reading this.
Raghu RR,4,"Definitely a 5* game, I hope genshin will be more generous.... Thank you for all the characters"
sweep,1,"as someone who dedicated 9 months of my life into this game for no particular reason, i hate everything about it, i will never play it again, and probably will never come back to future updates, this is a warning for every new player, either play the story and uninstall, or dont mess with this cringey game, and the team behind it, stay away as far as you can"
Thunder Muffin,5,Happy Lantern Rite.
bakin rime,4,👍
Zoren L,1,Very difficult to switch account. Doesn't even have logout button in PS5.
Michi Lee,1,"I LOVE KAZUHA. EDIT: yeah this game is ruined. HOYO i am so dissapointed 😭, thanks for ruining the game with ur fanservice, oh and also GIVE US BACK THE GAE SHIPS. Like Where'd they go?!?? Don't tell me this is another act of fanservice for homophobic players. I used to love this game, ya'll lost a lot of players since Natlan."
Game master,4,Everything in this game is great except there is not a mechanism that allows you to gift or drop something to another player so consider it in next update Thanks
Nooru Shifa,5,"No words to say,i love this game ❣️"
Muhammad Rismanda,1,genshin impact ❌️ GREEDY IMPACT ✅️
Panji Martiandaru,2,"Its ok game to play casually, but DON'T SPEND ANY MONEY on it. Just don't, its not worth it. Gorgeous design and gorgeous music. But no end game mode. Repetitive, little to no variations. Gacha system is annoying. Also heavy on device, potato phone better not try. Every QoL improvent asked by players will go to Hoyoverse other game instead (cough*HSR*cough), while the one that implemented *will* cost something. Its like they don't want to give player good things without extracting high cost."
Akbope Saktagan,4,прикольно только минус личная жизнь
Hussain Taiyab,3,It is good game but there is a bug for cup of commons I cannot find the cup of commons in my acc I would like to address this issue because it has been for a long time that I cannot find the cup of commons
Severus Snape,5,"Best game, I officially live there"
Anna Isaac,5,Just played it is THE BEST
Aneal “RUFFCUTT” Williams,5,It's a great open world game it's definitely worth checking out
佐味,5,"Have been playing since release, I've made many friends along the way all I care about really. (*´∇｀*)"
Jonathan Da Explorer,5,"LOVE YOU HOYO (LIVE,LOVE, KAVEHTHAM)"
Alex Salgado,5,It kept me entertained for hours and hours
Mariam Reda,4,"Genshin is honestly a great game but there are some issues I have to point out. Firstly, the extra long dialogues in the quest and you can't skip it (you basically have to listen to the characters yapping for 5 mins ). Secondly, why is there no offline option when playing solo and you also need like 20GB to download this game as well as another 8GB for updates which is really annoying. Lastly, this game takes up a lot of time and it is really hard to get the 5 stars you want as a F2P player."
Maria Guerra,1,"The game was almost something that everyone or most genshin fans would love the things that came into life in the game with its music, characters, and story that aligned with things in the real world and it's cultures but after Natlan, It's almost felt as if that everything that came out went out of the window when there has been characters coming out that didn't represent well of actual cultures and it's upsetting to me and I assume others too who play the game, I hope the issue can be solved."
Sharman Singh,5,Amazing adventure games I love it ❤️
Hendry S,2,Gave up with spiral abyss 12 chamber 2 part2 with Tenebrous Papilla. Quit play this game because need pull Natlan character. Overall this game is the best until Tenebrous Papilla come into the abyss
Dan 15h,5,I'm back but I use cloud
Tata,1,The 3d action game having more text than a visual novel is crazyyyy... at least even vn lets you skip the text 💀
IMESH LAKSHITHA,5,"trust me, this game right here is literally the best opw game we can ever play on mobile. well yeah it dose take a painfull amount in your storage and your memory, but it still worth to play. genshin is totally a f2p friendly game and we dont ever need to topup our money for it. some complaining that genshin need to fix a skip button for dialogues. the dialogues are long and paimon is a pain, as a player ik it very well, but we know even a little about the story thanks to dialogues, dont forget."
Carvel Javier Haryanto,5,This is so good
Manatsu,1,"I'll give credits where it's due, this game changed the gacha market, but it's time to change, your glory days is over, but I guess that doesn't matter because your blind loyal fans will keep playing your d.s. Game."
Gabriel Calderon,3,"I loved your game and man this was the best game I've played ever, but please no more of the long dialogues or just add a skip button and a chat log button. I'd really want to come back and I don't think I'm the only one when I say this cause I've been seeing similar comments on tiktok. Pls acknowledge i really love this game"
Nita Sak,5,"The game is very nice, wonderful but still I didn't know why furina have to die!!! I did cry at the end of the game!! Why did she have to die?! She didn't deserve it!!!!"
Vladimir Nmiku,5,Very impressive for a mobile game
Grey Valen,1,"I can no longer support this game, their toxicity towards their creators and desire to control said creators has gone too far. This game already struggles from being inferior to newer titles, which normally hasn't been an issue for me, I still enjoyed it. However, I value playing games for companies that at minimum pretend to care for their players/creators. This is no longer the hoyoverse I remember from the ""honkai impact 3rd"" days. They don't care about their players like their competitors."
kneecappjr _,5,Very fun game. It's a lot like BOTW and TOTK but in a very different style of gameplay
Hi Yusf,5,Please add a skip button
Daniel Wisler,5,rly fun and very addicting
Maryono Lambe,5,good
Mivec Pzul,5,Is a best game but hoyo can you make monstad looks awesome
Jorgie Perez,1,"when I create my newly account the loading screen was taking forever to process and sometimes it kick me out at times, but in genshin impact: cloud was running nicely and i'm actually making process"
dffMOG,5,"So good, it's beautiful."
hack tube2021,5,"Really good and full of missions which I like and at the same time having an open world in a game where u can explore, fight creatures, hangout, cook, eat. Whatever u imagine best experience so far, really smooth, a solid 5 stars no commentary"
Marcayla Faith (Faith),1,I've been downloading this game for 2 days and I deleted all of my storage
Patrick Sousa,5,Excelente jogo
Pazong Lee,5,I gave it 5 stars because i love the character and there attention and i love tartaglia hes so cool!
Cindy Rood,5,Nice
Princejed Pascual,5,This game is fire🔥
iyn lexter dean,5,i still love this game
Ferdy Yanto,5,"Good adventure game... so many quest to complete, you can choose what mossion you want clear first.. its running good on my devices and another best thing is cross save feature , so after you play genshin on travelling, you can continue in your ps5 from your last save... 5/5 star👍"
Sirin Doss,5,This is the best game ever in the whole world it has many fantastic characters with new characters available many striking stories and characters although I love how we put effort on making our primo and the storage toke 32gb!!! But I don't care because it deserve and im waiting for the lantern rite which gives 30 free pulls and 1 free character from liyue with 5stars weapon with new characters citlali and mavuika and the really amazing characters clorinde and allerchino!!! Im waiting for update
Eden,5,Amazing 10 out of 10 never found another game like it I'm truly immersed in!!
Vxlume,1,Wuwa better
Harry,3,Nice lag
Nicole Mcgill,5,BEST GAME EVER!
Carlos Peña,5,Definitely one of the best games for mobile. A sure recommendation for the world discoverers and old school gamers
Red Strike,5,Игра лучшая
ninokaka,5,Genshin impact is my first game I like and it's very good I love every hoyo's game
Яiи,1,اتركوها لله
Mousumi Akther,5,"very nice game, I hope to get mavuika"
Marcus Plummer,5,So fun. My favorite game but levveling weapons to 90 takes ALOT of enhancement ore and it might take 2-3 days to acsend a weapon to 80/90 then like a week+ to ascend it. Thats why not 5 stars 😄
Houston Roberts,5,it is the best game
Ananda molen (Molen),4,"Sekarang bisa, tetapi di komputer:).. Baguss, meskipun kikir sih-"
Sarvin Nv,5,IT'S SO BEAUTIFUL YOU SHOULD PLAY IT!!
Gage Lippolt,5,Gameplay is really enticing. Does a great job providing opportunities for you to explore and learn the systems on your own. Incredibly charming art and characters.
Sylvia McManus,5,Amazing story game and really fun to play
Monica Enaworu,5,Ilove your game
Dirizia Nunya,1,genshin kinda fell off with natlan. it's just so uninteresting... I guess I'll wait for snezhnaya then
Norman Paulo,1,"Uninstalled this game after 4 yrs. It seems hoyo also hates its own game lol. QoL in this game is pay walled and region locked, players are never appreciated during important milestones, exploration is a nightmare, story is (imo) shallow and uninspired, devs (hoyo) never listens to feedback. Finally cured the sunk cost fallacy which prevented me from quitting before, thank you for sucking too much hoyo. One more thing. Wuthering waves is better and genshin could never"
Graduate gamer,5,It's fun
BlackOps Tenshi,1,Game fun at first but dev doesn't listen to there community and the fan community is toxic.
Nurah Everts,5,"This game is really good, it's amazing and probably the best game I've played so far."
Sapan Shaikh,5,Best game in the world 😎 🌍🌍🌍🌍
AlineBonyss Whatever,5,"Absolutely amazing, the gameplay is great, the story is just awesome. Everything is so thought through and connected. If you don't like story baised games then this is not for you, because even tho there's way more to do then just that, it's clear that the story is the main focus."
Hell takes The Wheelie,1,"Look bro, you have really good world building lore. I've been here since release. Yet you betray us female players like this. Really? You can't stick to 1:2 male to female ratio? Cool, I can't stick to paying for you anymore either. I'd ask for refund if I can. Screwed up cn incel worshiping company."
Amelia Barker,5,I LOVE IT SO MUCH!!! <3
Velvette,5,Been playing for days now I love it I've lost count on how many days it's been I wake up early just to keep playing I love this game tho I wish we could have an update for the gliders experience and such like when there's a mountain and the character that is good at climbing died and you don't have any food to revive them and don't wanna keep going back and forth to the god and have them alive them just to climb again I'm asking is there a way we can fly higher with the gliders? If not that's ok
Salma Intissar,1,I don't know how to enter the game its hard it loads so slow And i don't want to use my dads email i try but its did not work 1 star
Evans,2,"It won't download resources of the game after I downloaded it, I already have enough space for it but it won't start downloading resources"
Sandeep Singh,5,Nice game
Rekha Parghi,5,Top to bottom this game is perfect in everything.
Cece Dede,5,"I just love Genshin Impact so much! I have been playing Genshin since like July 2022 and ever since that day my life became so much better. (I have 4 Genshin accounts and I play on all of those accounts and 1 each server except America (1 acc on Asia, 1 acc on Europe, and 2 acc on America)"
Glads,5,I love open world games and Genshin has so many spots and fun quests you can fight super cool bosses and unlock side stories. I think my only problem is how I don't have the best amount of storage with this game but otherwise this is a game I recommend since it's so action filled and customized to the player.
Zelda,4,"Irs pretty goof,the problem is it's tooo heavy abd my phone almost crashes while playing.. and the updates are even making it worse,bur still pretty good.."
Sayandip Dutta,5,One of the best adventurous gameplay
Китайская мудрость,5,"Замечательная игра Прекрасный сюжет , запоминающиеся персонажи , идиальная графика Донаты не важны , без них играется прекрасно , а озвучка просто нечто"
PRABHA SIVABALAN,5,It's really pretty good
Virtuous Direction,1,Edit-Ruined by Fomo gatcha and addictive practices. Shamelessy plagiarised other games and media. Do not respect players time. Story is hit or miss.(miss most of the time)They don't know what they are doing with story tbh. Greed has Curroupted this game company. Ceo cried crocodile tears to fool everyone and still not listening to players. Old review- Has Incredible music
Thiri May,5,It is sooooo good to play
Yvonne Taylor,5,I can play on my phone when I don't want to turn my PS4 on. It's so much fun! The story telling is on point and the different characters are exiting to learn. It helps me escape from reality.
Danya Loera,3,"Love the game, I pretty recently started playing and quickly became obsessed. There's a few issues though, my storage is very quickly running out and with each update the lingering fear that my phone will not longer be able to take it is there, I don't have a PC or gaming console that would support this game either so mobile is all I have. I'd hate to have to quit just because of this. Second I feel like the characters as a whole just keep disappointing a bit, compared to in other hoyo games"
Jason Taliercio,1,It took a long time for it to get install and i did not even get to play it.that is 1 star.
Rineiraka Dokja,1,"For some reason,the game resets whenever it's on the loading screen,I downloaded it on my ipad rm and it's fr not downloading resources even though I got enough storage...wts help me w this man😭🙏🙏 (I swear I'll download wuwa instead)"
Ashmadeep Rana,2,Well Rest in Peace My Guy
Omar Sharawy,4,the game is really good really the graphics some quest some stories the characters look soo good but the tall quests that are boring and give good rewards are sooo annoying like you must do a 3 hours quest for 40 primogems and they yap soooo much so I try my best to not do the unimportant quest and do the important ones but overall it's really good
John Andrey (Gizzy),5,"the game is nostalgic and relaxing, peaceful"
Bxone Pyae28,5,The best game ever
Rubeena Kp,5,A cool story based and good graphics too
Josh Walter Raymundo,5,Awesome
Elations Fool,5,The games is good again. Natlan is such a breath of fresh air
Social Life,1,Doing it for a girl
Amber,1,"Okay at the start but the amount of storage it takes up is ridiculous. I use to be able to play before the Fontaine update, but after that the storage was too big. When I downloaded it, I had to delete almost everything on my phone to play, and I can't even get it at all on my PC. It's not fair that many players have to give up almost everything on their devices to play one single game. No wonder so many players are leaving. Please sort this out."
Yennis,2,"The game offers an amazing view and good exploration! Only if you have a good device and rich in pulls. Many exploration mechanisms are locked behind limited characters' kits and the game's generosity is absolutely outrageous! In a day, I've barely been even able to farm A SINGLE PULL if not then it'll mostly be 0. Just last year in 5.0 update, they finally decided to give out a free 5 star character. Game has been out for years yet they can't even get new animations or heck even lip scyn."
Oracle Plays,1,"4 years in, genshin still doesn't have a proper QOL. Heck... Even Android doesn't have controller support yet. I hate that I am hating the game that help me get through the Pandemic because of the repetitive process and tediousness of the game has become. It feels like genshin devs feels tone deaf. If you want to retain players, have a better QOL and allow players to obtain 5 star char skins by grinding the game so they feel rewarded."
Zizi,1,"Game pelit, kikir ngasih bansos dikit doang, gb doang gede tapi kikirnya minta ampun. Game jelek setidaknya gacha rate nya naikin lah klo kikir susah banget lagi farmingnya ini gw kasih bintang 1 karena kasian padahal pengennya mah bintang 0 soalnya ni game jelek banget kikir lagi. Karakter nya juga bajunya terlalu terbuka. Banyak gooner. Game fanservice katanya bapaklu fan service. Benerin game kikir lu hoyo. Kesel banget mainnya. Gw udah farming ampe muak gacha sekali ga dapet apa apa"
Lucky Clover,5,Honestly a great game there was alot of things to do so many story quests but they do tend to get boring sometimes
Angelo Cabeza,4,Love this game first time playing and is so smooth high or medium but having a little heat but I'm enjoying it and the ZZZ.
Dylan,4,It is fun the grind is worth it 😃
Mohammed Shameer,5,This game is absolutely phenomenal everything from gameplay to characters.all things are incredibly perfect.the story is a masterpiece.i rate this game 10/10 for everything.i don't think anyone will ever be able to create such a awesome game.
Try It,1,the game sucks
Rukh Sana,3,Good but it take more time to download
Arush Joshi,5,I thought this game was for nerds but to my surprise this the best game I've ever played!
Zyrus Kent Alpuerto,1,After I saw that mavuika post in facebook I literally felt disgusted
SILVERNIGHT GAMER,5,I like this game
Teaza Teapelli,5,good game
Temenuzhka Mitkova,5,really good experience !
Teresa Maura,1,The game lost it's charm recently and the devs sucks.
Kristine Dela Cruz,5,I really love this game I just received a birthday cake from genshin wahhh
Suman Kole,4,"Good Game, Good Storyline But the Artifacts are bad everytime pls fix that pls"
Lucia Maillard,5,"It's amazing, I haven't seen anything this good before , it's just really cool"
Dania,5,Absolutely love this game!!! The graphics and stories are fire!! Keep up the good work.
minnie,3,"very beautiful game with amazing graphics, the storyline is also amazing but natlan could use some improvements. I don't know if it's just me, but I play on OnePlus phone and it still lags??.. when I attack the damage numbers don't show either for some reason, I hope this can be improved somehow..."
zedrick bayogos,5,The game is pretty good and amazing graphics and the character too. But increasing level of monsters is hard to beat them🥹. But I really love the game 😊
Malaysia Mamigi,5,I like it
Abdullah Riaz,5,I hate and love this game at a same time but still it's deserved 10 stars not 5 .....
Madhu Chakravarthy,4,It's a good game.it kind of gives rpg vibes
Yuri Vermilion,1,Buff Venti/Nerf Kazuha
neethi regi,5,I'm literally playing this for the built-in environments. Kudos to the world builders/designers.
MK MR,1,"I emailed the customers service and it didn't even help bringing my account back. Plss fix this, it's happening to many players they can't log in because of a security risk"
Kasacchi,1,"I feel disappointed a lot with the natlan update, it's a well done but it breaks my good view towards this game. None of my expectations is fulfilled, the game also didn't take the player's feedback seriously. And also my biased complaint is that, if you're about to make a new flying character, at least make the old one relevant too, give it as much as flexibility as the new one. I'm planning to leave this game after the next update, thankyou for accompanying me for 4 years."
Tono Yeptho,5,"Great game,Edit:I want shenhe rerun"
Masbate Japheth,3,KALMAHAN NIO NAMAN MGA UPDATES DI NA KINAYA NG DEVICE KO! YUN LANG MWEHEHEHEHHEHEHE
Agnes Colde,5,IT'S AMAZING
Olivia Garn (Livi),5,Very fun and tbh I've made some great friends playing this
resident_ 0701,3,Good game but please add controller support
S Thishananth,5,❤️
Ahmad Haneef Mohd Salleh,5,"Maybe I just newbie and this game Litteraly good. And best when I was boring, travel and doing dungeon in this game is so good."
Salahudinzakir Ayub,5,The first mobile open world game
Fazeel Faisal,5,it is real game for a mobile
ali aa,5,عالی
Khalifa Amaly rahim,5,Its soo fun to play especially with co-op playing with friends
Andrew Murray,2,The fighting is fun but the majority of the time you are stuck in the most boring and tedious dialogues. Just don't play it if you value your time.
sphinx claro,1,Kabaho ka coffee19
Alena Sri,5,"Wonderful, great, amazing game and the art style is just perfect 👏 the wishing is just the best 👍💯, map is big and full of wonders, characters story is just ✨🫰"
Arianna Cargill,5,I love it.
Kazuma Ryou,3,I really enjoyed the game for a few months but As I go farther into the game I get really frustrated tapping the dialogue especially for the background characters so I hope that in the future You will add the SKIP button for the people who just want to play cuz of gamestyle/gameplay
Sanjeet Kumar Singh,5,Just awesome I play everyday atleast for 6 hours it just keep me in
Ishi Shizuka,3,I really need skip...
Abhishek Ram,5,"This game is the best for you. Best graphics, character, wepans, animations all this in this game i just love it 🤧🤧🖤🖤🖤🥀"
Hendro Lauw,5,"Great Game, great story, lore"
Game Addict A4,1,Please guys fix the ping issue in asia server my ping is always high even though my wifi is really good please fix this hoyo
Alex Summer,5,"It's good, this is my dream game and I really like it😺😸😺😸"
Ain Natasha,5,Why I can't use the same account on different devices.
Shadow,4,"The game has always had a very special place in my heart, but natlan has been a bit dissapointing, the lack of content in some updates, and also a personal opinion, lack of male characters.. also many qol changes that need to be added, hopefully they'll change the course of it in future.."
Nurul Fatyhaa,1,Editor choice!!
Tonmoy Efaz,5,The most wonderful game I've ever seen 🤩🥰🥰🥰
Mr.Sushil FF,5,GIVE US MORE FEMALE CHARACTERS 🥵
Hazelwynne Robertson,1,"I used to really enjoy this game, but ever since Nathan it has all became fan service, and rhw whole of Nathan just doesn't fit the state of Teyvat, the lore is bland and boring, the designs are extremely out of no where, trust me they would've been better if they had darker skin but the new characters just looks like a bunch of night lights because of how light-skinned they are. Honestly the game has truly and heavily fell off"
Danny Dcaprix,5,Nice story
Muanpuii Tei,5,it to much GB but its still fun
litch the slayer,5,Funnnnn
Zabrynnah Balboa Umali,5,Good
ARKIT SAHA,5,This game is very good
Diya Moni,1,🥴
ORiChinA,1,I would like to know what percentage chance there is that someone will always lose and be unlucky because this happens to me all the time and I am a f2p player.
Senshi,5,"I love this game so much and one of my favourite things to do in this game is listening to music because it has so many of them and I can literally stay at one place all day listening them. Exploration, characters, story, everything feels so good"
Uje Gilwa Uje Gilwa,1,Idk
Norman Williams,5,Love it 😍😍😍
Matt Aaron Asiong,5,Best High Storage game i have ever played
Besuto,3,"Un jeu merveilleux, mais malheureusement ce dernier a un gros manque de sécurité, beaucoup de joueurs si ce n'est que quelque pourcentage, se sont fait pirater leur compte, et le support en est incapable de vous le récupérer, parce que soi-disant des informations sont manquantes, alors que nous faisons l'effort de justifier. Ne soyez pas surpris si cela arrive. N'employer pas des mots de passe, mais des phrases de passe.. Edit : Après 3 ans de jeu nonstop, j'arrête, les dév ne nous écoutent pas"
A Google user,5,it is a really good game
ryyn,4,interesting
Juju Karboun,5,I like this game so much I've playing it since almost 2 years
Muhab Bassam,5,🎁
Sheng Jaramilla,5,Best
The Radish,1,Since it's a gotcha the game developers really only care about getting money from players so rather than giving better in game rewards they do everything they can to incentive players to spend real life money which is predatory not to meantion the quality of the game is arguable especially since natlan
Ckxy 0811,5,"I love this game sm. No lag or glitches. You need quite high Internet quality and storage though I don't mind. Recommend playing on PC instead of phone. Perfect quality graphic design with amazing story quests designs. Characters are all great, though the wishing system could be a little better like Honkai star rail but overall everything is great. The characters are well written and the quests about them are all interesting. A little comedy sometimes as well."
Pat,5,Cool gamee
yaser ghasempor,1,"The chance percentage in Asura is low. Finding any item on the map is impossible and very rare. Every time a new season of the game comes out, the game becomes childish and simple. There is little excitement in the game and the power of each character is low."
Ken Davao,5,"The app is good, but can you please give us the PS2 controller option or playstation controller option. Please!!!!!! 🥺"
Edy Yuli,5,Good
galactic storm,5,😶😶😶
Kylon Loresca (KDL18YT),5,Best game I've ever played
George Samoilis,5,Gorgeous
Albert Del Rosario,1,dec 28
Ayush Narayan,1,"I have 1270 days active, honestly the game was amazing back in 2020 and until 2022. After that the game went downhill with bad updates, no end game content, bad story progression, bad gacha system and story quests were lacking with VAs in some parts. The game is good in terms of quality with animation, scenery and combat a little but went off with the wrong track. Devs barley give out rewards which makes it hard to get new characters if you lose 50/50 and characters are constellation dependent"
Genevieve Requino,5,The best game ever the quality is so good and the story of archon are so nice 👍🏼 i recommend to play but the olny problem the storage you need a good quality phone to play this game
ikki kurogane,5,Wow
Egg,5,Very very fun totally
Rey Semblante,5,This is a great game and the graphics are amazing and the storyline are very great...
Karin Knightwalker,5,Game open map keren
Wil Sal,1,Mario is gonna steal your liver
ABL3KGSG ABL3KGSG,5,I only hope that the Arabic language will be added ♥
g da.,1,f nerds
Jairo Kromosadjah,5,Like it
Hana Palecrimson,5,A very wonderful game. I like it.
giovanni Domingo,5,"This game is amazing, the graphics put on high is beautiful 😍, the fight scenes are badass, love it"
Nicole (Nick),1,"The quality of everything in the game has been dropping. Story, designs, map... everything. Maybe Schneznahya will be better, but I'm quitting the game for now."
ixr_h2,1,‼️Plz add Arabic language‼️
Foxy garcia,2,"Editing my 2022 review, the app is good but it logged me out not so long ago and it doesn't log my back in anymore, I tried many ways but it kept on saying check your Internet and yet my Internet is well."
k yoisaki,1,NEED MORE FREEMOGEMS
aira,1,"The game uses cultures, and real countries as inspiration for the nations in the game and the characters that live in said nation. However, the game's lack of diversity despite the game wanting to represent the country and it's people. I've genuinely enjoyed the game up until Natlan, where this nation is too gimmicky and has a noticable higher amount of female characters due to reasons regarding fanservice making said characters lose out on their potential."
Abdssamad Bentalb,5,Peak
Akshay S,5,Worth every bit of storage it took on your device. 💯
Dominique Ryan,5,I like it very much
fg liti,5,Gg game..good...best...
*⁀KAITO,1,"colorist game , devs dont care about the people they take from . ❤️ and aso dont value their playerbase"
