rating,likes,date,iso_date,response,cleaned_snippet
5.0,432,"August 26, 2024",2024-08-26T07:22:49Z,,mobile phone game play start play honestly fun ve game long time m glad get support external storage device allow external memory stick insert thr game optimize feature graphic section game option menu ll analyze device automatically adjust game run smoothly possible say device nice
3.0,212,"September 04, 2024",2024-09-04T01:37:19Z,,play sep   game beautiful love different nation character design undtrack topti enjoy world exploration puzzle battle difficult leave review current state game leave pretty disappointed frustrated lategame content dull monotonous tedious socalled reward insult measly plain stingy gatcha game well
5.0,412,"August 16, 2024",2024-08-16T20:52:40Z,,awesome game main story quest extremely wellwritten immersive country design enjoyable puzzle unlock reward elemental fighting system unique fun exception character beautifully design fairly easy resource obtain highly recommend
5.0,337,"October 09, 2024",2024-10-09T09:44:29Z,,game long certain quest like rollercoaster high lot quest low hard get high level definitely cost money want wish character special weapon purchase special item use lot memory get sluggish not memory later not build character correctly difficult time repetitive farming battle
5.0,1301,"September 03, 2024",2024-09-03T21:44:35Z,,ve play game     year little release pretty fun like aspect game like lore gameplay character overtime feel like event story get boring repetitive especially recently ve get disappoint new character design like emilie natlan character sethos not feel special old one end game experience not great
3.0,11,"September 20, 2024",2024-09-20T23:46:12Z,,feel like game lot fun not use eat battery storage wifi not load lot time understand big game need lot resource function crash single time ridiculous time actually able play amazing m seriously think give genshin
4.0,434,"September 05, 2024",2024-09-05T12:39:16Z,,lot massive open world variety character elemental power multiple weapon include mage long term game downside insanely difficult artifact equip character stat look plus single run farm different type artifact instead make hard ll spend lot resin energy barely exactly want build single character developer improve
1.0,1282,"August 10, 2024",2024-08-10T09:30:15Z,,like game early game story fun like old character ton issue player continue bring fall deaf ear late game play not scale exp random bad guy run map world level increase difficult level character later gameplay random bug thing refuse fix needle will not redownloade
3.0,14,"October 03, 2024",2024-10-03T15:10:43Z,,star dock personal opinion people review address poor recent character design slow story wish option let pick commission want reach max reputation nation annoying try certain one unlock sort storyline achievement cool interact commission board pick
4.0,0,"November 09, 2024",2024-11-09T18:47:00Z,,pretty good game good graphic cool design character nice storyline voice act freely explore game high ar get boringi try like permanent mini game great game
3.0,256,"June 27, 2024",2024-06-27T01:41:03Z,,great game enjoy lot try come love explore accomplish quest come exploring thing notice recently completely change thought game experience try sign tend laggy crash time thing want point fact not fun update attention game
5.0,170,"August 10, 2024",2024-08-10T05:23:28Z,,genshin impact visually satisfying beautiful game control simple crossplatform experience seamless play console home laptop travel pick leave phone m spend dime not want story immersive evolve new character adventure constantly add m impressed aspect genshin impact not recommend
4.0,115,"August 29, 2024",2024-08-29T15:06:29Z,,love genshin character story exploration fun   resin cap annoying ftp make build character time long hard sice genshin big make hard storage issue get bad delete past datum genshin beautiful game fix lot issue yay   hate storge
2.0,41,"September 14, 2024",2024-09-14T16:39:16Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'Hello Traveler! Please go to the official Genshin Impact website to refer to information on system requirements for a more stable and smooth gaming experience. Meanwhile, to further locate the cause of the issue, please contact the Customer Service team via the in-game feedback channel or email.', 'date': 'October 24, 2022', 'iso_date': '2022-10-24T12:53:15Z'}",strong mobile android fps lag overlaps move hear audio get severe aggravating deal play time turn completely unplayable edit review new update   natlan game take   minute load cutscene walk inch crash game entirely low graphic setting not issue update
5.0,1280,"June 24, 2024",2024-06-24T14:17:51Z,,ve see add youtuber sponsor   yard tell day play game actually pretty good definitely fill need upgrade slowly strong equipment character not mistake have high level enemy not possibly fight near beginning common mistake game ease slowly introduce game mechanic hook
1.0,1348,"July 18, 2024",2024-07-18T14:47:30Z,,gameplay play great character neat open world exploration fun force sit   second dialogue frustrating interesting d like able skip dialogue have sit lastly make easy level exist character constellation wish great   new character will not use hard level exist character
3.0,75,"July 10, 2024",2024-07-10T09:39:21Z,,great game aspect terrible term imagine breath wild well graphic well lore storyline arguably well character world design character remotely challenge game spiral abyss complete story game rinse repeat daily day resin grind event terrible feel like mini game game barely utilize character
3.0,27,"June 05, 2024",2024-06-05T05:08:08Z,,great character storyline task honestly game need permanent feature like windteace offer fun ve actually game daily grind stuff farming questing boring progress character game hoyo permanent friendly competition game waiting game event come
5.0,94,"July 17, 2024",2024-07-17T21:16:42Z,,play half year assure good pretty fun game type game play minute go to spend hour notice long figure thing need bit googling s plentiful guide advice s lot story dialogue mood appreciate skip button enjoy
5.0,82,"July 19, 2024",2024-07-19T01:32:23Z,,start couple year ago feel like breath wild clone huge world climbing glide good fast reactive control fun combat impress free keep increase size world enhance ui add story add cool character new ability reason explore story voice act actually good start damn good get well free amazing
5.0,167,"August 15, 2024",2024-08-15T01:18:09Z,,absolutely love game graphic story exploration character fun good variety mechanic use find fun building character problem nice reroll option artifact substat artifact farming well primogem reward s currency weapon character wish event chest bit reward
5.0,57,"July 17, 2024",2024-07-17T23:07:02Z,,love play genshin phone currently not open game play shut not loading screen show hoyoverse screen immediately shut phone say s bug will not let open game developer fix bug samsung galaxy     gb m pretty sure not wrong phone ve try delete redownloade not work
5.0,264,"October 29, 2024",2024-10-29T17:12:08Z,,story line combat quest scenery exploration truly amazing way get bored play thing game notice archon quest character voice line make story boring wish possible way actually play traveler like event overall amazing game
5.0,49,"November 08, 2024",2024-11-08T14:19:51Z,,wonderful experience virtual reality real life love game awesome gameplay storyline character lot good play friend new friend event wild like dendro archon event wish event like bad quest hard new player like unable coop month
5.0,11,"November 08, 2024",2024-11-08T15:52:25Z,,beginner genshin impact rlly rlly fascinating breathtake adventure graphic rlly smooth apart advantage game take lot space   gb lot theory item need understand properly difficult play game rule knowledge power make sense overall     star error problem bonus character design humor story strike
5.0,115,"October 26, 2024",2024-10-26T20:33:38Z,,love game quest interesting lot interesting caracter issue firstly take lot space secondly take lot time loading recently dialogue caracter mute exept paimon solve issue nice reward like honkai star rail recomend game start play game ll go quit
3.0,5,"November 08, 2024",2024-11-08T16:11:03Z,,game beautiful devs lower draw distance explore low resolution polygon place holder right object building look like toy block mountain look like belong ps game grass tree rock pop map disappointing compare play version   galaxy s ultra ps
5.0,78,"October 22, 2024",2024-10-22T18:24:33Z,,love game especially experience explore new territory meet expectation player climbing expectation treasure chest teleportation feel satisfying beautiful scenery designbgm pattern game feel consistent downside quest bug action button character disappear
4.0,97,"October 31, 2024",2024-10-31T07:56:29Z,,like genshin impact storyline amazing love character design different play style ve rate star unfortunately lot character mute silence feel loud quest voice character not feel right eng voice actor
1.0,13,"November 12, 2024",2024-11-12T10:48:15Z,,game randomly decide turn datum gameplay sure explain playtime data connection suddenly claim service pull game home screen signal happen open game live place datum signal strong not possible wifi fine datum problem
5.0,83,"October 08, 2024",2024-10-08T23:01:49Z,,game big flaw long take character pr weapon rerun resin respawn rate have   character   aside game amazing storyline enjoyable character different story quest event incredible music super fun gameplay mechanic world building astonishing scenery overall tell effort love passion experience real journey enjoy
4.0,19,"November 07, 2024",2024-11-07T13:05:56Z,,game great story lot quest end game content hard play phone not know character icon r small make hard press hit enemy joystick reset thumb tell thumb play   year prosgreat story quest consend game hard play icon r small joystick not thumb
3.0,10,"October 11, 2024",2024-10-11T18:21:44Z,,overall fun game good story arc good character world design interesting combat system elemental reaction easy spend month theory craft team composition skill battle system rate higher not provide game feature android certain option like controller support available io android
3.0,3,"November 10, 2024",2024-11-10T06:21:32Z,,game amazing fact character voice like kinich ruin gaming experience feel like m complete archon quest alot dialogue begin weird ruin game like lore love genshin
4.0,89,"October 16, 2024",2024-10-16T02:54:32Z,,game overall fine suck not skip dialogue sit storage take ridiculous kind understandable wait version   come usually fun recent banner end   hour new banner come   limit suck not sense go different ascension material come different day well reward
2.0,31,"October 26, 2024",2024-10-26T20:47:18Z,,someone gacha game not bad play   year phone pc glaring issue   take space pc phone   early game content pretty good fall drastically month get repetitive quickly   lot fetch quest   game treat like   story constantly repeat dialogue not   paimon get lot bad time let think
4.0,14,"October 30, 2024",2024-10-30T12:17:32Z,,graphic great gameplay fun scenery breathtake beautifulbut not   star   major problemthis game story waaaayyyyyyyyyyy talkingyap yap yap yap yapand not skip conversationit take     minute   minute yap non stop annoying voice paimonif not skip well watch anime movie click need skip button
4.0,22,"October 19, 2024",2024-10-19T17:12:34Z,,new player incredible frustrating experience exploration character lore craft stand similar game archon quest memorable exciting flaw writing downside experience banner system change age ago main problem increase number character game make impossible accommodate rerun effectively
5.0,31,"October 25, 2024",2024-10-25T18:53:31Z,,ve play long ad freedom play lost energy play choose love not need play people strong feel need not want bad m learn game remind minecraft soo well art design detail   lot read travel great random fighting random thing busy
4.0,0,"November 12, 2024",2024-11-12T16:48:37Z,,game pretty good gameplay smooth story amazing good s bug enter game   second game crash kick try fix problem long time luck
2.0,34,"October 12, 2024",2024-10-12T12:57:10Z,,game amazingbut todays morning ve problem game work launch normally logo appear kick application   time get notification game bug devs need fix friend not problem not play game fix problem uninstalle reinstall reset device check storage connection work
4.0,4,"October 29, 2024",2024-10-29T22:50:31Z,,love game problem voice act recent event nahida not voice hate love everyone voice   hope hoyoverse fix problem studio vas try use ai hate not let studio use bad ai voice make mad fix en vas
1.0,258,"October 12, 2024",2024-10-12T10:34:11Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'October 21, 2024', 'iso_date': '2024-10-21T10:32:10Z'}",game good yes reason lacking lot vital feature domain pain good artifictsit significantly impact gameplay make game play feel like chore fun like start feature skip domain gameplay ve play time like cooking mechanic standard banner need update rework
5.0,8,"November 10, 2024",2024-11-10T10:53:30Z,,amazing game love character storyline graphic stunning explore new region feel like enter different world look forward update especially new character quest suggestion great translator chat box communicating player country coop challenging translator team easy
5.0,71,"October 16, 2024",2024-10-16T22:26:02Z,,genshin deserve   star review great game nice quality character design story quest wonderful main story quest world quest annoying sit uninteresting dialogue end day perfectly fine need bit patience fit lot play style find like game m   mark short game
2.0,4,"November 11, 2024",2024-11-11T13:48:57Z,,bad game hard play mobile m android game not provide controller support game thing ios platform release wild absurd use controller game literally platform android rd party interference
3.0,5,"October 22, 2024",2024-10-22T07:09:41Z,,fine like story character easy burn game bp welkin little difference resource scarcity make grind way make easy domain horrible roll good artefact rate bad d   star character not want end spend upwards   character want not dumb like spend money game
4.0,15,"October 13, 2024",2024-10-13T13:01:40Z,,honestlyi download yesterday love   like like watch anime play time usually game story line make read lot   wanna read read fav webton instead skip   lot audio love   thing not like far character bit slow   make run drain stamina quickly   oh   take lot space like   gb   lot
1.0,254,"October 21, 2024",2024-10-21T22:25:56Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'November 07, 2024', 'iso_date': '2024-11-07T09:55:01Z'}",game story graphic good control sucks dpad movable button adjust atleast place screen m unintentionally action especially dpad low screen touch character automatically move forward fix control button dpad adjustable
5.0,23,"November 10, 2024",2024-11-10T03:19:05Z,,great game grind character leveling repetitive weekly domain difficult improve character premium currency primogem difficult come past qol issue beautiful rpg fun gameplay excellent storyline notch not wait new area patch
3.0,3,"October 19, 2024",2024-10-19T10:18:46Z,,great game good quality world building world exploration vast find hard obtain reward extensive grind primogem s skip button annoying honestly
5.0,20,"October 09, 2024",2024-10-09T00:56:56Z,,  year play daily   good live service game nowadays up down genshin amazing piece art especially music game novel adventure lot exploration puzzle constant event different minigame love
4.0,7,"October 09, 2024",2024-10-09T01:20:21Z,,want play game long time finally find compatible device play amazing think maybe suggestion   ticket system wish new banner player constellation   certain character character appear character turn ticket corresponding star   star collect ticket exchange character old banner hope ll help
5.0,6,"November 11, 2024",2024-11-11T07:20:20Z,,good game   play mobile pc game good ost music   scenery landscape   storyline   character design thing   truly masterpiece issue devs provide primogemsin game currency pull upcomme banner free   pulla worth major update nice   major issue bit problematic   love game
1.0,18,"November 04, 2024",2024-11-04T21:52:51Z,,pointless playing play game   coupon go uninstall play pc exclusively game not worth keep phone real space ll countless line event exclusive nonrepeatable dialogue reach endgame story meander filler character introduce bc gacha system limit story potential fan
4.0,0,"November 10, 2024",2024-11-10T01:50:46Z,,take huge twoish year gap fontaine get release lot enjoyable play reason like character power design etc area farm artifact system suck reason like ugh natlan   character release include emily pretty eh new main story style save people hate lot maybe natlan ugly
1.0,37,"October 20, 2024",2024-10-20T09:26:02Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for this issue, Traveler. Please send us an email or contact Customer Service via in-game feedback for specific help with this issue.', 'date': 'October 21, 2024', 'iso_date': '2024-10-21T09:36:37Z'}",game fun run phone story great complain   star control onscreen control absolutely terrible ios controller support android not mention number time accidentally click character ultimate try jump change camera angle close add controller support android year game launch ff
4.0,34,"October 22, 2024",2024-10-22T03:51:04Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'October 22, 2024', 'iso_date': '2024-10-22T03:42:14Z'}",improve experience little game setting take break fight game aesthetic worth time ve spend game story devs put guess rush head game loose perspective escape need game thank game hoyoverse
1.0,107,"November 08, 2024",2024-11-08T07:24:27Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for this issue, Traveler. Please send us an email or contact Customer Service via in-game feedback for specific help with this issue.', 'date': 'November 09, 2024', 'iso_date': '2024-11-09T17:55:59Z'}",great game play year get tired major improvement term qol entire game generally artifact system change story dialogue take time voice go gacha not improve limit weapon banner get original   form bad play game excited lot restriction deceive audience
5.0,25,"October 11, 2024",2024-10-11T06:22:43Z,,gi fun adventure game play year easy ascent character need work hard get lucky strong characterweapon artifek player spend lot primogen intertwine fate not strong gold character weapon overall game fun developer add mark sign   lose forget farming
5.0,27,"October 09, 2024",2024-10-09T10:03:22Z,,good action adventure game aver play smartphone update good graphic heart touch character design bestthe game start journey journey feel like main character game story development character development visual gameplay game awesome love play game future
3.0,14,"October 25, 2024",2024-10-25T07:50:07Z,,game fun get boring progress reward suck game want pull new character reward good take   hour   pull love character design like say impossible pull character spend money
1.0,0,"November 12, 2024",2024-11-12T13:52:45Z,,fix dumb bug not primogem old achievement old commissionqu like tale winter achieve tell geo travel diary geo archon anecdotes liyue not finish dumb achievement unknown reason     time
4.0,2,"October 29, 2024",2024-10-29T01:43:14Z,,scamtifye elixir   twin mc kid prefer grow version npc copy paste look slight difference lack detail design look bore game good job detail combat experience good game rely elemental reaction dodge mechanic boring sprint well slow real dodge animation
1.0,116,"October 13, 2024",2024-10-13T01:38:50Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'October 22, 2024', 'iso_date': '2024-10-22T03:11:42Z'}",game actually good problem phone wait like   hour instal update etc sleep instal shade wake instal finally good laggy phone new old stop play genshin impact come download update shade getting annoying worth wait waste gb game
2.0,7,"October 09, 2024",2024-10-09T03:57:49Z,,hard good rating thing worth play genshin impact story story like inazuma bad music rest experience gameplay level character talent artifact exploration quality life fix worth watch youtube story listen spotify music
3.0,4,"November 03, 2024",2024-11-03T14:10:11Z,,ve play game   year damage text bug grass not ice dvalin signora boss fix m sure phone problem hoyo update tell situation abt bug state cos denial woukd great length able damage mobile screen
5.0,137,"October 18, 2024",2024-10-18T13:27:06Z,,good game play   year actually unbelievable lil addicting quest r boring new update genshin definitely get well love new character   star def storage lil player maybe fix issue wifi rlly bad game require good wifi s issue face   great game love   m hook
3.0,9,"October 16, 2024",2024-10-16T02:16:17Z,,game fine honestly standard banner   stuff player pull banner actually want standard character random useless character understand luck bad lose high pity like   hopefully change system like go to player lose    
3.0,11,"October 30, 2024",2024-10-30T06:20:37Z,,game interesting storyline boring make frustrating play hard farm fp take time   not start char build   thing like game character graphic literally play character not time build
4.0,0,"November 08, 2024",2024-11-08T05:50:58Z,,m happy game rewardsand thing end game challenging fun right build teapotbut want like lake lake glitch st kinda annoying hope hoyoverse option create lake   water foundation helpful   thank
5.0,21,"October 11, 2024",2024-10-11T04:24:13Z,,beautiful game m glad instal galaxy run beautifully grow playing game like legend zelda love art style enormous open world explore music voice act perfect story complex interesting fan hoyoverse hope m finally able enjoy timeless work art favorite dev team
5.0,940,"September 06, 2024",2024-09-06T08:14:02Z,,thank genshin give unforgettable gaming experience love graphic character design story theme music ethereal scenery late   story escape night kingdom experience horrible lag plus time limit reach wind current m aware poor device likely problem grateful expand time limit m stick forever
5.0,20,"October 13, 2024",2024-10-13T18:22:37Z,,true perfection storyline   gameplay gatcha perfect start play not know addict favorite game thing place love collect character get love storyline stimulation game   get   fighting yep not wait play
3.0,6,"September 17, 2024",2024-09-17T20:00:02Z,,play long time like change device oppo ae ve have problem run month d crash lag d restart game   month black mid cutscene kick game game ill start cutscene kick
5.0,240,"September 16, 2024",2024-09-16T15:54:46Z,,amazing lore nice gameplay unique character cool design beautiful fantasy world inspire real life region noticable not accurately represent culture limitation skintone thing d like mention genshin fail story tell tell deviate main plotline traveller search twin aspect overall great game
5.0,607,"August 26, 2024",2024-08-26T11:55:40Z,,  star play android start play covid great time feel pressured purchase explore fun puzzle not challenging bore people play meta grind lot not lot fun story interesting boring skip dialogue thing stop star game lack racial diversity lack reward quest irl event
2.0,3179,"October 03, 2024",2024-10-03T23:03:50Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': ""We'd like to thank all Travelers for your continued support and love of Genshin Impact! We will continue to provide you with more high-quality game content. If Travelers encounter problems during their adventures, please don't hesitate to contact us via the in-game feedback channel. Your gaming experience and suggestions are always important to us."", 'date': 'July 25, 2024', 'iso_date': '2024-07-25T03:24:29Z'}",game force sit extremely long boring slow loading dialogue hour option skip despite people ask option year issue limit world quest go event matter ask listen user update increase rating   star   cause ve make positive change add reward hope improve
5.0,434,"August 27, 2024",2024-08-27T23:25:34Z,,soundtrack graphic scenery wonderfull like main story lot character design cool wish diversity definelly good thing region character mission characteristic sorry english mistake simulanka permanent event
4.0,136,"September 24, 2024",2024-09-24T03:38:55Z,,tw hk mo server despite have good connection experience minor laggy garble storyline introduction play like not fix get point intro choose character lag disappear oh upgrade new phone not solve issue believe issue game network provider indosat game capable provide hour fun vibrant bright world character collection cool
5.0,675,"August 27, 2024",2024-08-27T23:57:18Z,,genshin impact incredible game grip story breathtake graphic topnotch animation open world huge location beautifully design explore different area exciting place feel special wellcrafte combination worldbuilde visual pull game blend art story exploration perfectly make fantastic experience start finish
5.0,381,"August 26, 2024",2024-08-26T15:07:36Z,,amazing character design game play idea event frustrating quest description not help especially pause quest clue maybe quest description bit helpful great game not wait future update
1.0,4532,"August 17, 2024",2024-08-17T16:42:21Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for this issue, Traveler. Please send us an email or contact Customer Service via in-game feedback for specific help with this issue.', 'date': 'November 13, 2024', 'iso_date': '2024-11-13T08:04:40Z'}",exploration good character weapon excellent animation excellent audio music excellent not enjoy properly camerasomething not fix   year constantly fix veiw combat exploration reason seizure eye problem play game touchscreen bad experience lack customizable key layout   qol joke
5.0,10,"October 18, 2024",2024-10-18T19:28:23Z,,game good   story line great graphic please   play week game state lag badly   ui unresponsive fps drop zero game   graphic intensive game work fine medium high graphic setting oneplus t   uninstallate
5.0,0,"November 02, 2024",2024-11-02T19:08:33Z,,hey guy great benevolent summon system character amazing world fun explore right character story interesting easy save character want thank event like paimon s adorable guy
2.0,1,"October 30, 2024",2024-10-30T12:53:44Z,,game good update good problem character not rerun year play tartaglia like play style fact join update   not well not get rerun   actually feel bad play m play year not think m go to quit atp m tired redownloade game
5.0,42,"September 17, 2024",2024-09-17T00:51:11Z,,good graphic mobile game par pc version interesting lorestory main reason play game yeah mid quest overall greatfor character need save primogem able character want s pity system okay artifact system rng kinda bad require lot grind guarantee good
1.0,68,"November 03, 2024",2024-11-03T09:32:17Z,,sit hour dialogue care listen ve replay game dozen time annoying wish feature skip story cutscene play game good game slowly end get hard hard find resourse lot game literally grind hour
1.0,106,"November 02, 2024",2024-11-02T09:32:05Z,,game great graphic issue frustrating   skip button   cutscene not skip long dull wasting time wait tap   mission   mission hard progress main story mission list cluttered mission unskippable cutscene add frustration hope developer address issue repetitive annoying
2.0,7,"October 30, 2024",2024-10-30T20:00:23Z,,game usually great recent update enjoyable lack english language voiceover especially annoying character speak make experience disjointed make want play issue resolve
5.0,4,"November 01, 2024",2024-11-01T21:18:33Z,,start   release   love graphic character design current update weapon banner well low cost   music region different good music   story build   skip story value story   kinda disappointing community value story low   btw add skip button like people say people different taste   pls commission pg
5.0,1,"November 01, 2024",2024-11-01T08:37:09Z,,overhated game huge world ton quest stunning visual goate plot especially fontain archon quest story good character building good game remind sao game good apart fan weird
3.0,0,"October 26, 2024",2024-10-26T10:44:14Z,,start   go relatively ping horrible asias server change hks server recently s release ping get point not participate coop event have ms getting kick say asia hk server ve try test online game medium check s problem router ill grateful get resolve
5.0,8,"November 03, 2024",2024-11-03T23:57:21Z,,    game animation fight scene detail nation amazing ton character play team play friend story interesting twist turn emotional roll coaster nation play game day love game
3.0,2,"November 09, 2024",2024-11-09T17:47:24Z,,game amazing love main story free roam game problem play laptop game constantly crash game will not let login annoying try restart laptop fix game try reinstall work
4.0,0,"November 12, 2024",2024-11-12T17:11:15Z,,storyline awesome love play stop dialogue long not skip especially event quest conversation unnecessary boring game large phone game well pc console
3.0,1,"November 03, 2024",2024-11-03T11:58:58Z,,rate   star issue need fix like try login account say request try later contact genshin support think hope fix soon possible badly miss account
5.0,0,"November 03, 2024",2024-11-03T04:30:41Z,,love game unconditionally player friendly map beautiful story line amazing think   star game disappointing not great m ar m love plan good game etc badluck people bad review devs try satisfy guy ill play game matter give lovely game thankyou hoyoberse muahahahaeauheurys
4.0,2,"November 02, 2024",2024-11-02T17:48:19Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'March 13, 2023', 'iso_date': '2023-03-13T10:31:44Z'}",th anniversary weapon banner pitt   radiance pity system free   look like deserve long time update rating     hope reward future rating improvement reduce weapon pity good anniversary elixir cost need easy obtain
5.0,0,"October 27, 2024",2024-10-27T06:35:41Z,,fun play not know m new player   funn u guy download try explore vast world questgood graphic   good story line long play want overall   game fun like play game
5.0,0,"October 24, 2024",2024-10-24T20:36:10Z,,game get unreasonable hate people play highly recommend game amazing year play bulkier phone crash lag happen low graphic setting character story worth
3.0,10,"November 09, 2024",2024-11-09T21:15:03Z,,love game take way storage like gb way mobile game device dedicate genshin genshin s way hell damn world app like sorry ridiculous gb gb lot mobile game let   story great character art   get boring ve quest explore gacha not good tho
1.0,29,"October 22, 2024",2024-10-22T05:36:17Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'October 22, 2024', 'iso_date': '2024-10-22T03:52:24Z'}",controller support android   year feedback give fall deaf ear s severe lack qol feature consider game age proper endgame content artifact loadout custom domain creator perfect endgame content alas temporary usual game good tonedeaf company actually use money improve billion dollar company people
5.0,1,"November 02, 2024",2024-11-02T01:42:03Z,,amazing game superb story line gameplay great mobile need decent phone run see comment game crash etc plus   g run game like dream
1.0,269,"October 23, 2024",2024-10-23T21:14:42Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'November 07, 2024', 'iso_date': '2024-11-07T09:23:59Z'}",alright game thing delete app tell sorry not space game download people s point have app store certain device maybe fix game not space especially phone
2.0,1,"November 03, 2024",2024-11-03T17:09:19Z,,bug s cause game work delete app datum cache datum pop say try update game developer fix happen friend play game normally
4.0,1,"October 23, 2024",2024-10-23T00:48:30Z,,enjoy game like week leave day entire save wipe reset beginning end redownloade worked fine far
4.0,0,"November 06, 2024",2024-11-06T12:01:39Z,,great game button malfunction somethime example matter long hard hold attack button mobile not heavy attack problem arlecchino weekly boss button move force play uncomfortably   year
2.0,19,"October 28, 2024",2024-10-28T08:44:27Z,,game slow fun reach adventure rank   s character building reach curtain point game endless mode endgame hopefully skip button dialogue slow
4.0,0,"October 21, 2024",2024-10-21T01:26:30Z,,amazing keep kick game try jade chamber grab paper snow go checkpoint unlock leave game go game checkpoint not save ve try jade chamber
5.0,0,"November 09, 2024",2024-11-09T03:12:07Z,,play genshin year like quest help understand concept game character design amazing not player mad design hope ill   star
4.0,0,"October 30, 2024",2024-10-30T07:09:28Z,,incredible game amazing charachter story exploration combat problem ungodly amount storage take like gb insane gatcha absolute scam
