rating,cleaned_snippet,true_sentiment,predicted_sentiment
3.0,star dock personal opinion people review address poor recent character design slow story wish option let pick commission want reach max reputation nation annoying try certain one unlock sort storyline achievement cool interact commission board pick,negative,neutral
4.0,pretty good game good graphic cool design character nice storyline voice act freely explore game high ar get boringi try like permanent mini game great game,positive,positive
3.0,great game enjoy lot try come love explore accomplish quest come exploring thing notice recently completely change thought game experience try sign tend laggy crash time thing want point fact not fun update attention game,negative,positive
5.0,genshin impact visually satisfying beautiful game control simple crossplatform experience seamless play console home laptop travel pick leave phone m spend dime not want story immersive evolve new character adventure constantly add m impressed aspect genshin impact not recommend,positive,positive
4.0,love genshin character story exploration fun   resin cap annoying ftp make build character time long hard sice genshin big make hard storage issue get bad delete past datum genshin beautiful game fix lot issue yay   hate storge,negative,positive
2.0,strong mobile android fps lag overlaps move hear audio get severe aggravating deal play time turn completely unplayable edit review new update   natlan game take   minute load cutscene walk inch crash game entirely low graphic setting not issue update,positive,negative
5.0,ve see add youtuber sponsor   yard tell day play game actually pretty good definitely fill need upgrade slowly strong equipment character not mistake have high level enemy not possibly fight near beginning common mistake game ease slowly introduce game mechanic hook,negative,positive
1.0,gameplay play great character neat open world exploration fun force sit   second dialogue frustrating interesting d like able skip dialogue have sit lastly make easy level exist character constellation wish great   new character will not use hard level exist character,positive,positive
3.0,great game aspect terrible term imagine breath wild well graphic well lore storyline arguably well character world design character remotely challenge game spiral abyss complete story game rinse repeat daily day resin grind event terrible feel like mini game game barely utilize character,negative,positive
3.0,great character storyline task honestly game need permanent feature like windteace offer fun ve actually game daily grind stuff farming questing boring progress character game hoyo permanent friendly competition game waiting game event come,positive,positive
5.0,play half year assure good pretty fun game type game play minute go to spend hour notice long figure thing need bit googling s plentiful guide advice s lot story dialogue mood appreciate skip button enjoy,negative,positive
5.0,start couple year ago feel like breath wild clone huge world climbing glide good fast reactive control fun combat impress free keep increase size world enhance ui add story add cool character new ability reason explore story voice act actually good start damn good get well free amazing,positive,positive
5.0,absolutely love game graphic story exploration character fun good variety mechanic use find fun building character problem nice reroll option artifact substat artifact farming well primogem reward s currency weapon character wish event chest bit reward,negative,positive
5.0,love play genshin phone currently not open game play shut not loading screen show hoyoverse screen immediately shut phone say s bug will not let open game developer fix bug samsung galaxy     gb m pretty sure not wrong phone ve try delete redownloade not work,positive,positive
5.0,story line combat quest scenery exploration truly amazing way get bored play thing game notice archon quest character voice line make story boring wish possible way actually play traveler like event overall amazing game,negative,positive
5.0,wonderful experience virtual reality real life love game awesome gameplay storyline character lot good play friend new friend event wild like dendro archon event wish event like bad quest hard new player like unable coop month,positive,positive
5.0,beginner genshin impact rlly rlly fascinating breathtake adventure graphic rlly smooth apart advantage game take lot space   gb lot theory item need understand properly difficult play game rule knowledge power make sense overall     star error problem bonus character design humor story strike,negative,positive
5.0,love game quest interesting lot interesting caracter issue firstly take lot space secondly take lot time loading recently dialogue caracter mute exept paimon solve issue nice reward like honkai star rail recomend game start play game ll go quit,positive,positive
3.0,game beautiful devs lower draw distance explore low resolution polygon place holder right object building look like toy block mountain look like belong ps game grass tree rock pop map disappointing compare play version   galaxy s ultra ps,negative,positive
5.0,love game especially experience explore new territory meet expectation player climbing expectation treasure chest teleportation feel satisfying beautiful scenery designbgm pattern game feel consistent downside quest bug action button character disappear,positive,positive
4.0,like genshin impact storyline amazing love character design different play style ve rate star unfortunately lot character mute silence feel loud quest voice character not feel right eng voice actor,negative,positive
1.0,game randomly decide turn datum gameplay sure explain playtime data connection suddenly claim service pull game home screen signal happen open game live place datum signal strong not possible wifi fine datum problem,positive,positive
5.0,game big flaw long take character pr weapon rerun resin respawn rate have   character   aside game amazing storyline enjoyable character different story quest event incredible music super fun gameplay mechanic world building astonishing scenery overall tell effort love passion experience real journey enjoy,negative,positive
4.0,game great story lot quest end game content hard play phone not know character icon r small make hard press hit enemy joystick reset thumb tell thumb play   year prosgreat story quest consend game hard play icon r small joystick not thumb,positive,positive
3.0,overall fun game good story arc good character world design interesting combat system elemental reaction easy spend month theory craft team composition skill battle system rate higher not provide game feature android certain option like controller support available io android,negative,positive
3.0,game amazing fact character voice like kinich ruin gaming experience feel like m complete archon quest alot dialogue begin weird ruin game like lore love genshin,positive,positive
4.0,game overall fine suck not skip dialogue sit storage take ridiculous kind understandable wait version   come usually fun recent banner end   hour new banner come   limit suck not sense go different ascension material come different day well reward,negative,positive
2.0,someone gacha game not bad play   year phone pc glaring issue   take space pc phone   early game content pretty good fall drastically month get repetitive quickly   lot fetch quest   game treat like   story constantly repeat dialogue not   paimon get lot bad time let think,positive,positive
4.0,graphic great gameplay fun scenery breathtake beautifulbut not   star   major problemthis game story waaaayyyyyyyyyyy talkingyap yap yap yap yapand not skip conversationit take     minute   minute yap non stop annoying voice paimonif not skip well watch anime movie click need skip button,negative,positive
4.0,new player incredible frustrating experience exploration character lore craft stand similar game archon quest memorable exciting flaw writing downside experience banner system change age ago main problem increase number character game make impossible accommodate rerun effectively,positive,positive
5.0,ve play long ad freedom play lost energy play choose love not need play people strong feel need not want bad m learn game remind minecraft soo well art design detail   lot read travel great random fighting random thing busy,negative,positive
4.0,game pretty good gameplay smooth story amazing good s bug enter game   second game crash kick try fix problem long time luck,positive,positive
2.0,game amazingbut todays morning ve problem game work launch normally logo appear kick application   time get notification game bug devs need fix friend not problem not play game fix problem uninstalle reinstall reset device check storage connection work,negative,negative
4.0,love game problem voice act recent event nahida not voice hate love everyone voice   hope hoyoverse fix problem studio vas try use ai hate not let studio use bad ai voice make mad fix en vas,positive,positive
1.0,game good yes reason lacking lot vital feature domain pain good artifictsit significantly impact gameplay make game play feel like chore fun like start feature skip domain gameplay ve play time like cooking mechanic standard banner need update rework,negative,positive
5.0,amazing game love character storyline graphic stunning explore new region feel like enter different world look forward update especially new character quest suggestion great translator chat box communicating player country coop challenging translator team easy,positive,positive
5.0,genshin deserve   star review great game nice quality character design story quest wonderful main story quest world quest annoying sit uninteresting dialogue end day perfectly fine need bit patience fit lot play style find like game m   mark short game,negative,positive
2.0,bad game hard play mobile m android game not provide controller support game thing ios platform release wild absurd use controller game literally platform android rd party interference,positive,negative
3.0,fine like story character easy burn game bp welkin little difference resource scarcity make grind way make easy domain horrible roll good artefact rate bad d   star character not want end spend upwards   character want not dumb like spend money game,negative,positive
4.0,honestlyi download yesterday love   like like watch anime play time usually game story line make read lot   wanna read read fav webton instead skip   lot audio love   thing not like far character bit slow   make run drain stamina quickly   oh   take lot space like   gb   lot,positive,positive
1.0,game story graphic good control sucks dpad movable button adjust atleast place screen m unintentionally action especially dpad low screen touch character automatically move forward fix control button dpad adjustable,negative,negative
5.0,great game grind character leveling repetitive weekly domain difficult improve character premium currency primogem difficult come past qol issue beautiful rpg fun gameplay excellent storyline notch not wait new area patch,positive,positive
3.0,great game good quality world building world exploration vast find hard obtain reward extensive grind primogem s skip button annoying honestly,negative,positive
5.0,  year play daily   good live service game nowadays up down genshin amazing piece art especially music game novel adventure lot exploration puzzle constant event different minigame love,positive,positive
4.0,want play game long time finally find compatible device play amazing think maybe suggestion   ticket system wish new banner player constellation   certain character character appear character turn ticket corresponding star   star collect ticket exchange character old banner hope ll help,negative,positive
5.0,good game   play mobile pc game good ost music   scenery landscape   storyline   character design thing   truly masterpiece issue devs provide primogemsin game currency pull upcomme banner free   pulla worth major update nice   major issue bit problematic   love game,positive,positive
1.0,pointless playing play game   coupon go uninstall play pc exclusively game not worth keep phone real space ll countless line event exclusive nonrepeatable dialogue reach endgame story meander filler character introduce bc gacha system limit story potential fan,negative,positive
4.0,take huge twoish year gap fontaine get release lot enjoyable play reason like character power design etc area farm artifact system suck reason like ugh natlan   character release include emily pretty eh new main story style save people hate lot maybe natlan ugly,positive,positive
1.0,game fun run phone story great complain   star control onscreen control absolutely terrible ios controller support android not mention number time accidentally click character ultimate try jump change camera angle close add controller support android year game launch ff,negative,positive
4.0,improve experience little game setting take break fight game aesthetic worth time ve spend game story devs put guess rush head game loose perspective escape need game thank game hoyoverse,positive,positive
1.0,great game play year get tired major improvement term qol entire game generally artifact system change story dialogue take time voice go gacha not improve limit weapon banner get original   form bad play game excited lot restriction deceive audience,negative,positive
5.0,gi fun adventure game play year easy ascent character need work hard get lucky strong characterweapon artifek player spend lot primogen intertwine fate not strong gold character weapon overall game fun developer add mark sign   lose forget farming,positive,positive
5.0,good action adventure game aver play smartphone update good graphic heart touch character design bestthe game start journey journey feel like main character game story development character development visual gameplay game awesome love play game future,negative,positive
3.0,game fun get boring progress reward suck game want pull new character reward good take   hour   pull love character design like say impossible pull character spend money,positive,positive
1.0,fix dumb bug not primogem old achievement old commissionqu like tale winter achieve tell geo travel diary geo archon anecdotes liyue not finish dumb achievement unknown reason     time,negative,negative
4.0,scamtifye elixir   twin mc kid prefer grow version npc copy paste look slight difference lack detail design look bore game good job detail combat experience good game rely elemental reaction dodge mechanic boring sprint well slow real dodge animation,positive,neutral
1.0,game actually good problem phone wait like   hour instal update etc sleep instal shade wake instal finally good laggy phone new old stop play genshin impact come download update shade getting annoying worth wait waste gb game,negative,positive
2.0,hard good rating thing worth play genshin impact story story like inazuma bad music rest experience gameplay level character talent artifact exploration quality life fix worth watch youtube story listen spotify music,positive,positive
3.0,ve play game   year damage text bug grass not ice dvalin signora boss fix m sure phone problem hoyo update tell situation abt bug state cos denial woukd great length able damage mobile screen,negative,neutral
5.0,good game play   year actually unbelievable lil addicting quest r boring new update genshin definitely get well love new character   star def storage lil player maybe fix issue wifi rlly bad game require good wifi s issue face   great game love   m hook,positive,positive
3.0,game fine honestly standard banner   stuff player pull banner actually want standard character random useless character understand luck bad lose high pity like   hopefully change system like go to player lose    ,negative,positive
3.0,game interesting storyline boring make frustrating play hard farm fp take time   not start char build   thing like game character graphic literally play character not time build,positive,positive
4.0,m happy game rewardsand thing end game challenging fun right build teapotbut want like lake lake glitch st kinda annoying hope hoyoverse option create lake   water foundation helpful   thank,negative,positive
5.0,beautiful game m glad instal galaxy run beautifully grow playing game like legend zelda love art style enormous open world explore music voice act perfect story complex interesting fan hoyoverse hope m finally able enjoy timeless work art favorite dev team,positive,positive
5.0,thank genshin give unforgettable gaming experience love graphic character design story theme music ethereal scenery late   story escape night kingdom experience horrible lag plus time limit reach wind current m aware poor device likely problem grateful expand time limit m stick forever,negative,positive
5.0,true perfection storyline   gameplay gatcha perfect start play not know addict favorite game thing place love collect character get love storyline stimulation game   get   fighting yep not wait play,positive,positive
3.0,play long time like change device oppo ae ve have problem run month d crash lag d restart game   month black mid cutscene kick game game ill start cutscene kick,negative,negative
5.0,amazing lore nice gameplay unique character cool design beautiful fantasy world inspire real life region noticable not accurately represent culture limitation skintone thing d like mention genshin fail story tell tell deviate main plotline traveller search twin aspect overall great game,positive,positive
5.0,  star play android start play covid great time feel pressured purchase explore fun puzzle not challenging bore people play meta grind lot not lot fun story interesting boring skip dialogue thing stop star game lack racial diversity lack reward quest irl event,negative,positive
2.0,game force sit extremely long boring slow loading dialogue hour option skip despite people ask option year issue limit world quest go event matter ask listen user update increase rating   star   cause ve make positive change add reward hope improve,positive,positive
5.0,soundtrack graphic scenery wonderfull like main story lot character design cool wish diversity definelly good thing region character mission characteristic sorry english mistake simulanka permanent event,negative,positive
4.0,tw hk mo server despite have good connection experience minor laggy garble storyline introduction play like not fix get point intro choose character lag disappear oh upgrade new phone not solve issue believe issue game network provider indosat game capable provide hour fun vibrant bright world character collection cool,positive,positive
5.0,genshin impact incredible game grip story breathtake graphic topnotch animation open world huge location beautifully design explore different area exciting place feel special wellcrafte combination worldbuilde visual pull game blend art story exploration perfectly make fantastic experience start finish,negative,positive
5.0,amazing character design game play idea event frustrating quest description not help especially pause quest clue maybe quest description bit helpful great game not wait future update,positive,positive
1.0,exploration good character weapon excellent animation excellent audio music excellent not enjoy properly camerasomething not fix   year constantly fix veiw combat exploration reason seizure eye problem play game touchscreen bad experience lack customizable key layout   qol joke,negative,positive
5.0,game good   story line great graphic please   play week game state lag badly   ui unresponsive fps drop zero game   graphic intensive game work fine medium high graphic setting oneplus t   uninstallate,positive,positive
5.0,hey guy great benevolent summon system character amazing world fun explore right character story interesting easy save character want thank event like paimon s adorable guy,negative,positive
2.0,game good update good problem character not rerun year play tartaglia like play style fact join update   not well not get rerun   actually feel bad play m play year not think m go to quit atp m tired redownloade game,positive,negative
5.0,good graphic mobile game par pc version interesting lorestory main reason play game yeah mid quest overall greatfor character need save primogem able character want s pity system okay artifact system rng kinda bad require lot grind guarantee good,negative,positive
1.0,sit hour dialogue care listen ve replay game dozen time annoying wish feature skip story cutscene play game good game slowly end get hard hard find resourse lot game literally grind hour,positive,positive
1.0,game great graphic issue frustrating   skip button   cutscene not skip long dull wasting time wait tap   mission   mission hard progress main story mission list cluttered mission unskippable cutscene add frustration hope developer address issue repetitive annoying,negative,neutral
2.0,game usually great recent update enjoyable lack english language voiceover especially annoying character speak make experience disjointed make want play issue resolve,positive,positive
5.0,start   release   love graphic character design current update weapon banner well low cost   music region different good music   story build   skip story value story   kinda disappointing community value story low   btw add skip button like people say people different taste   pls commission pg,negative,positive
5.0,overhated game huge world ton quest stunning visual goate plot especially fontain archon quest story good character building good game remind sao game good apart fan weird,positive,positive
3.0,start   go relatively ping horrible asias server change hks server recently s release ping get point not participate coop event have ms getting kick say asia hk server ve try test online game medium check s problem router ill grateful get resolve,negative,negative
5.0,    game animation fight scene detail nation amazing ton character play team play friend story interesting twist turn emotional roll coaster nation play game day love game,positive,positive
3.0,game amazing love main story free roam game problem play laptop game constantly crash game will not let login annoying try restart laptop fix game try reinstall work,negative,positive
4.0,storyline awesome love play stop dialogue long not skip especially event quest conversation unnecessary boring game large phone game well pc console,positive,positive
3.0,rate   star issue need fix like try login account say request try later contact genshin support think hope fix soon possible badly miss account,negative,positive
5.0,love game unconditionally player friendly map beautiful story line amazing think   star game disappointing not great m ar m love plan good game etc badluck people bad review devs try satisfy guy ill play game matter give lovely game thankyou hoyoberse muahahahaeauheurys,positive,positive
4.0,th anniversary weapon banner pitt   radiance pity system free   look like deserve long time update rating     hope reward future rating improvement reduce weapon pity good anniversary elixir cost need easy obtain,negative,positive
5.0,fun play not know m new player   funn u guy download try explore vast world questgood graphic   good story line long play want overall   game fun like play game,positive,positive
5.0,game get unreasonable hate people play highly recommend game amazing year play bulkier phone crash lag happen low graphic setting character story worth,negative,positive
3.0,love game take way storage like gb way mobile game device dedicate genshin genshin s way hell damn world app like sorry ridiculous gb gb lot mobile game let   story great character art   get boring ve quest explore gacha not good tho,positive,neutral
1.0,controller support android   year feedback give fall deaf ear s severe lack qol feature consider game age proper endgame content artifact loadout custom domain creator perfect endgame content alas temporary usual game good tonedeaf company actually use money improve billion dollar company people,negative,positive
5.0,amazing game superb story line gameplay great mobile need decent phone run see comment game crash etc plus   g run game like dream,positive,positive
1.0,alright game thing delete app tell sorry not space game download people s point have app store certain device maybe fix game not space especially phone,negative,positive
2.0,bug s cause game work delete app datum cache datum pop say try update game developer fix happen friend play game normally,positive,positive
4.0,enjoy game like week leave day entire save wipe reset beginning end redownloade worked fine far,negative,positive
4.0,great game button malfunction somethime example matter long hard hold attack button mobile not heavy attack problem arlecchino weekly boss button move force play uncomfortably   year,positive,neutral
2.0,game slow fun reach adventure rank   s character building reach curtain point game endless mode endgame hopefully skip button dialogue slow,negative,positive
4.0,amazing keep kick game try jade chamber grab paper snow go checkpoint unlock leave game go game checkpoint not save ve try jade chamber,positive,positive
5.0,play genshin year like quest help understand concept game character design amazing not player mad design hope ill   star,negative,positive
4.0,incredible game amazing charachter story exploration combat problem ungodly amount storage take like gb insane gatcha absolute scam,positive,negative
4.0,star lack controller support android change play lack controller support stop play m bored play controller hope guy consider add soon,negative,positive
5.0,favourite game far play game hour game graphic dam goodi like animationsand character pretty good event good rule understand matter support genshin impact,positive,positive
4.0,ping bad ms edit maybe bad connection ping ms lag lag game crash cutscene musicdialogue choppy point wher decide turn volume completely edit contact month ago surprisingly fix issue thou contact network provdr game run smoothly stll lag smtime,negative,negative
5.0,genshin impact fun game lot place amazing new hero high quality graphic breathtake story genshin online game play people like friend sibling need defeat villain save sisterbrother meet new hero upgrade hero collect resource map download genshin impact know fascinating story untold,positive,positive
2.0,game heavy low end device   will not able play anymore edit update get lot slow strong device m unable enjoy game request developer think size game,negative,positive
4.0,graphic pretty good like story lore great guy   star character interaction respective nation like   star outside aqthe mc showcase power pretty boring compare wuwa,positive,positive
5.0,far good game ve play lore fantastic character design look cool graphic great storyline amazing consider mainly play game truly good hand hoyoverse fantastic job genshin impact edit   finally take space thank u mihoyo,negative,positive
5.0,love genshin favorite game graphic amazing character love detail character outfit quest highly recommend play amazing game hu tao pretty new skin,positive,positive
3.0,event need replayable en va strike leave previous event voiceless unable enjoy say content native language strike end content replayable   strike not end seek new vas,negative,neutral
1.0,say bad game dialogue not skip take long cutscene game mean involve player actually play game read listen dialogue time quest make fight have actual interaction have dialogue great time people tap cause boring long dialogue dev not listen player worth anymore,positive,negative
5.0,play game   year azame   ost battle theme lore character design unique playstyle open world like not explain word like real experience not feel game hat developer great work art present lot effort game exciting journey future thank,negative,positive
5.0,see game try finally play gamer fond open world rpg game game truly good open world experience mobile device game look damn beautiful great job impressed definitely recommend not play give try mean miss great thank work hard create masterpiece,positive,positive
4.0,love game far d like option automatically clear new character stuff like gameplay tho story bit competitive requirement mission theirs alot fun stuff s non competitive m hope u gacha currency mission,negative,positive
5.0,love game m afraid hacker ruin account wanna suggest obtain   star weapon player ve able use weapon use upgrade weapon not dispose hacker account ll ruin account,positive,negative
5.0,y play game good game not low end device not try install low ram device harmful device like art style   explore open world   collect charecter story quest etc way have fun,negative,positive
2.0,eversince new update ve get frequent crash recently samsung gb ram like sudden movement fight enemy thing freeze crash freeze frame random second character not move include open menu lower graphic experiment suitable,positive,negative
2.0,game story wise good   boring old player abyss easy new end game mode ok   complete quest daily routine open game boring commission use resin close game go to uninstall soon,negative,positive
2.0,want add controller game separate company apple product provide android controller player play android calculate ratio download platform hardly difficult ps compatibility not android launch android controller,positive,neutral
1.0,skip button absurd point character talk talk talk interesting take time say way short sentence game get nerve,negative,positive
5.0,find come game ve play   m pretty veteran player love story line combat wish hoyo diverse come skin color character,positive,positive
2.0,awesome not mind low game reward odd fandom huge problem include co   op teapot realmi currently phoneand build teapoti press save afterwardsthenit say waitto wait furniture load inexceptit go awaywhich not allow traveler visit sweethard work mini game realmi wait hoursand actually wifi weather completely fine,negative,positive
4.0,gripe actual lack skin surplus character feel kind lazy honestly release like entire year major event like lantern rite not help mod skin end get ban restrict like   skin compare total number   character usually irrelevant character like,positive,positive
3.0,love game story s thing m disappoint story birthday nahida character not voice speak need read talk disappointing character voice conversation kinda annoying fix immediately appreciate story game,negative,neutral
1.0,thank fix game buut time s quest not play real story add like button not need quest try buy thing card not work not thing bring,positive,positive
5.0,wow great game play game year enjoy like open world free game game play   month free buy   monthly welkin wish buy soon cost effective deal think mihoyo allow new user able buy     month previous month welkin make purchase think korean game voice actor good like open world game game worth try,negative,positive
3.0,game good lack control control overy character deficult execute proper combo miss click etc hope ll add controller support android io well experience handle character,positive,positive
2.0,update game lose account m able log   week update game m try send email genshin respond play   year k dollar account go recommend   not buy game   not waste time,negative,positive
5.0,worth   update play potato phone long mondstadt fontaine work total fine exspect natlan crash soo enter carshs play religion smooth natlan demand stack expensive medium play,positive,positive
4.0,believe well reward possible consider reduce pity rate     freetoplay player fan eula feel like long wait play begin overall good game,negative,positive
5.0,game pretty good place character quest interesting will not quit game bug weird play genshin impact   day normal quest start know npc character voice line miss fix bug pls love genshin impact,positive,positive
3.0,game nice good graphic fact need gb datum play insane amazed datum mobile game play android game like asphalt   gangstar vegas game ask extreme datum download requirement,negative,positive
2.0,ve play   year   star time sooooo disappointing hour gameplay event achievement go progress not star rating want,positive,neutral
3.0,play problem happen problem game take space kick app reason tho admit graphic plot story good pretty good game consider laggy,negative,positive
5.0,  update gi offer incredible openworld recent story strong daily system improve reward engagement quest make easy use resin reward game big flaw continue painfully slow character building process story pacing prevent fast reader bore event content quickly dialogue skip qol think gi continue great title,positive,positive
5.0,good game play phone worth bit storage take phone good story graphic quest character think download game thing regret download game good character standard character gaming experience notch,negative,positive
3.0,ok get bit well   release shall quality improve quality great especially competitor market content feel stale need endgame activity weekly reward allow chance favourite character like certain weekly exploration   abyss activity sort like hoyo game own,positive,positive
5.0,not understand people hate game ve play game patch   s time   suppose people follow like sheep game nice chance ve play long improve update listen fandom time game s like exploration coop main story cook visual novel,negative,positive
4.0,play game beginning good ve play story character good combat super fun game exhausting spend hour save currency character wish reward,positive,positive
5.0,notice lot   star review decide   star think game great getting bore simply break like story world game music unreal casual player appreciate get stuff hard thank make game,negative,positive
5.0,blast play genshin gorgeous graphic entice storyline love aspect game suggest skip dialogue button story memorize point highly recommend game casual hardcore gamer recommend game gam creator like honkai star rail extremely fun entertaining game,positive,positive
5.0,love game fun story quest love game scenery character small issue lag mobile user understandable good game ve play deserve   star rating help people understand thing real life recommend play,negative,positive
1.0,s insane boring dialogue not skip add skip button seriously literal gameplay   min dialogue   min listen boring talk tap screen life skip dialogue add skip button,positive,negative
5.0,finally hoyo start listen player lot qol change focus have fun spend time repetitive nonsense like daily abyss run short afford generous freebie consider game make deserve star fun natlan far qol change not screw thing,negative,positive
5.0,tho play yrs old budget phone game beautiful now loading kinda fast new   update love change suddenly app get crash little time try reinstall result focus low end device like give opt change rendering distance smth like,positive,positive
4.0,game pretty good downside big game load hard fp player currency game game beautiful interesting deep plot wish little easy overall,negative,positive
4.0,easy   story character puzzle sooo good thing hate lack free reward compare game game feel soo dry lazy player like force grind character want community good player toxic,positive,positive
1.0,update oct not use google point pc purchase battle passover update save   wish week not banner character game overall fun limit grind character wish expensive limitation gatcha game probably friend end play long period time original like needy controller support droid user,negative,positive
5.0,dear hoyoverse enjoy game fun lot puzzle deal mention boss enemy love character story hope mic party talk texte friend fun speak friend game,positive,positive
4.0,play game release multiple device edit game multiple time game amazing open world amazing character black character not skin color light tone npc yes game good fix character actually need melanin,negative,positive
5.0,time addict game like perfeeect quality game character music view quest world   animation literally awesome highly highly recommend game d,positive,positive
4.0,bad experience old phone z fold amazing usually play pc phone wish file phone allow change controll use wireless keyboard mouse fold fun accept control currently not recognize available control game reason try racing game wasd control work,negative,positive
5.0,bros not tell like game good play graphic story well people take storage developer solve problem delete old quest helpful low end device,positive,positive
4.0,want world popular game add player vs player function want kill beastmonster bcz boring fight againt monster game animation fighting system u add player vs player function boom   game week want fair fight s possible fight againt real player add function meed change enable pvp game player fight,negative,negative
4.0,good graphic experience task interesting excellent not know phone problem game problem new phone large storage space   week open game not open show game bug check thing awesome,positive,positive
2.0,fun game take way storage nice skip dialogue not problem mean nice primogem easy s,negative,positive
2.0,new reward story quest long dialouge option character story quest not character main random npc waste   hour quest not feature banner unit basic npc reward give exploration story quest drivel aside archon quest way alt tab random option dialouge force input infuriating,positive,positive
5.0,honestly hate game cringe player stuff bad actualy quest stuff keep motivated play literaly get rank   n day discoverd like   part map,negative,positive
5.0,genshin impact completely redefine expect openworld rpg stunning visual pair expansive world life moment game feel like work art character design gorgeous feel unique personality combat style offer endless possibility team composition,positive,positive
5.0,  nice game buy welkin week hu tao fund see game think graphic fake game truly amaze music character scenery thank wonderful game mihoyo hoyoverse truly life well   happy natlan update not believe ve play game   year genshin truly life well,negative,positive
5.0,m wait forever start long update omg long conversation sooo stupid enemy impossible defeat screen unstable specially compat bcz camera ancle unstable difficult compat game soooo fke stressfull waste time,positive,negative
4.0,  star canjust bug accure world quest pop bring near impossible puzzle solve right start want clear quest list like organized person like thing chapter v natlan archon quest chapter l liyue   reach chapter iv fontaine dock occupy quest natlan goodbye fontaine enter,negative,positive
4.0,ve play genshin   year laptop ve problem recently get new phone hv alt acc europe server tend switch account switch europe server need download extra resource not download europe server automatically download asia server main acc download s new quest wait download,positive,neutral
1.0,like game graphic laggy chance get   star charcater low begginer pkayer spend primogem end wasteand suggest increase character drop release   star characterthat,negative,positive
3.0,omgnice gamegreat animationsamaze charactersleisurely nature soundlike omg saurrrrr gooood suddenly today th october genshin impact stop say genshin impact close app bug try update app developer provide fix error s fixdo asap nahidas bday quest complete quest pleaseeee fix asap great game tbh m give star error,positive,negative
3.0,right date gameplay voice character dialog lazy add company make billion not deliver voice linesi recommend game beautiful ton content definitely like care little game,negative,positive
